Round,EnergyConsumed,AvgResidualEnergy,TotalNetworkEnergy
761,0.00116765,0.0315485,0.315485
762,0.00560099,0.0309884,0.309884
763,0.00130899,0.0308575,0.308575
764,0.00632408,0.0302251,0.302251
765,0.00574206,0.0296509,0.296509
766,0.0012919,0.0295217,0.295217
767,0.00594212,0.0289275,0.289275
768,0.00124273,0.0288032,0.288032
769,0.00118282,0.0286849,0.286849
770,0.00567153,0.0281178,0.281178
771,0.0012919,0.0279886,0.279886
772,0.00630846,0.0273577,0.273577
773,0.00574206,0.0267835,0.267835
774,0.00154962,0.0295968,0.266371
775,0.00958595,0.0285317,0.256785
776,0.00112846,0.0284063,0.255656
777,0.00132851,0.0318013,0.25441
778,0.000714103,0.031712,0.253696
779,0.00111422,0.0315728,0.252582
780,0.00114351,0.0314298,0.251439
781,0.00970123,0.0302172,0.241737
782,0.000919417,0.0301022,0.240818
783,0.00980126,0.0288771,0.231017
784,0.000814131,0.0328867,0.230207
785,0.000624787,0.0327975,0.229582
786,0.0049581,0.0320892,0.224624
787,0.000899918,0.0319606,0.223724
788,0.000999946,0.0318177,0.222724
789,0.000834587,0.0316985,0.22189
790,0.00985755,0.0302903,0.212032
791,0.00079989,0.030176,0.211232
792,0.00079989,0.0300618,0.210432
793,0.000899918,0.0299332,0.209532
794,0.000688627,0.0298348,0.208844
795,0.00958696,0.0284653,0.199257
796,0.000924872,0.0283331,0.198332
797,0.00534006,0.0275703,0.192992
798,0.00558483,0.0267724,0.187407
799,0.00485807,0.0260784,0.182549
800,0.000999946,0.0259356,0.181549
801,0.00079989,0.0258213,0.180749
802,0.000699861,0.0257213,0.180049
803,0.000599833,0.0256356,0.179449
804,0.00092841,0.025503,0.178521
805,0.0134995,0.0235745,0.165021
806,0.00525818,0.0228233,0.159763
807,0.000699861,0.0227233,0.159063
808,0.00079989,0.0226091,0.158264
809,0.000599833,0.0225234,0.157664
810,0.000599833,0.0224377,0.157064
811,0.00122496,0.0222627,0.155839
812,0.00502436,0.0215449,0.150815
813,0.00569934,0.0207307,0.145115
814,0.000849063,0.0206095,0.144266
815,0.00598127,0.019755,0.138285
816,0.00539925,0.0189837,0.132886
817,0.000899918,0.0188551,0.131986
818,0.000699861,0.0187551,0.131286
819,0.000899918,0.0217402,0.130441
820,0.00068562,0.0216259,0.129755
821,0.000785648,0.021495,0.12897
822,0.000785648,0.021364,0.128184
823,0.000585591,0.0212664,0.127598
824,0.000510518,0.0211813,0.127088
825,0.00524394,0.0305402,0.122161
826,0.000545874,0.0304037,0.121615
827,0.00924415,0.0280926,0.112371
828,0.000538957,0.0279579,0.111832
829,0.00535653,0.0266188,0.106475
830,0.00045708,0.0265045,0.106018
831,0.000523338,0.0263737,0.105495
832,0.00535653,0.0250345,0.100138
833,0.00045708,0.0249203,0.0996811
834,0.000638986,0.0247605,0.0990421
835,0.00530567,0.0234341,0.0937364
836,0.00535653,0.022095,0.0883799
837,0.000257023,0.0220307,0.0881229
838,0.000582063,0.0218852,0.0875408
839,0.00461529,0.0207314,0.0829255
840,0.000357051,0.0206421,0.0825685
841,0.000757165,0.0204528,0.0818113
842,0.000357051,0.0203636,0.0814542
843,0.000257023,0.0202993,0.0811972
844,0.000906366,0.0200727,0.0802909
845,0.00532276,0.018742,0.0749681
846,0.00553843,0.0173574,0.0694297
847,0.0052565,0.0160433,0.0641732
848,0.000357051,0.015954,0.0638161
849,0.000257023,0.0158898,0.0635591
850,0.000757165,0.0157005,0.0628019
851,0.000623366,0.0155446,0.0621786
852,0.0052565,0.0142305,0.0569221
853,0.000506253,0.014104,0.0564158
854,0.00535653,0.0127648,0.0510593
855,0.000357051,0.0126756,0.0507022
856,0.000582063,0.01253,0.0501202
857,0.00461529,0.0113762,0.0455049
858,0.000357051,0.011287,0.0451478
859,0.000839042,0.0110772,0.0443088
860,0.00515647,0.00978808,0.0391523
861,0.000638986,0.00962833,0.0385133
862,0.00535653,0.0082892,0.0331568
863,0.000445845,0.0109317,0.0327951
864,0.00865923,0.00804529,0.0241359
865,0.000642895,0.00783099,0.023493
866,0.000242781,0.00775006,0.0232502
867,0.00034281,0.00763579,0.0229074
868,0.000242781,0.00755487,0.0226646
869,0.000442838,0.00740725,0.0222218
870,0.000242781,0.00732633,0.021979
871,0.000542866,0.00714537,0.0214361
872,0.000361209,0.00702497,0.0210749
873,0.00477161,0.00543443,0.0163033
874,0.000542866,0.00525348,0.0157604
875,0.00034281,0.00513921,0.0154176
876,0.00034281,0.00502494,0.0150748
877,0.00034281,0.00491067,0.014732
878,0.00034281,0.0047964,0.0143892
879,0.00034281,0.00468213,0.0140464
880,0.000479806,0.00452219,0.0135666
881,0.00427248,0.0054654,0.0109308
881,0.00465734,0.0076242,0.0076242
882,0.00011427,0.00750993,0.00750993
883,1.42416e-05,0.00749568,0.00749568
884,0.000214298,0.00728139,0.00728139
885,0.00011427,0.00716712,0.00716712
886,0.00011427,0.00705285,0.00705285
887,0.00011427,0.00693858,0.00693858
888,8.82657e-05,0.00685031,0.00685031
889,0.00437251,0.0024778,0.0024778
890,0.00011427,0.00236353,0.00236353
891,1.42416e-05,0.00234929,0.00234929
892,1.42416e-05,0.00233505,0.00233505
893,0.000314327,0.00202072,0.00202072
894,1.42416e-05,0.00200648,0.00200648
895,1.42416e-05,0.00199224,0.00199224
896,0.000314327,0.00167791,0.00167791
897,0.00011427,0.00156364,0.00156364
898,1.42416e-05,0.0015494,0.0015494
899,8.82657e-05,0.00146114,0.00146114
900,0.00427248,0,0
