Round,Time,AliveNodes,DeadNodes
514,397836,100,0
515,398610,100,0
516,399384,100,0
517,400158,100,0
518,400932,100,0
519,401706,100,0
520,402480,100,0
521,403254,100,0
522,404028,100,0
523,404802,100,0
524,405576,100,0
525,406350,100,0
526,407124,100,0
527,407898,100,0
528,408672,100,0
529,409446,100,0
530,410220,100,0
531,410994,100,0
532,411768,100,0
533,412542,100,0
534,413316,100,0
535,414090,100,0
536,414864,100,0
537,415638,100,0
538,416412,100,0
539,417186,100,0
540,417960,100,0
541,418734,100,0
542,419508,100,0
543,420282,100,0
544,421056,100,0
545,421830,100,0
546,422604,100,0
547,423378,100,0
548,424152,100,0
549,424926,100,0
550,425700,100,0
551,426474,100,0
552,427248,100,0
553,428022,100,0
554,428796,100,0
555,429570,100,0
556,430344,100,0
557,431118,100,0
558,431892,100,0
559,432666,100,0
560,433440,100,0
561,434214,100,0
562,434988,100,0
563,435762,100,0
564,436536,100,0
565,437310,100,0
566,438084,100,0
567,438858,100,0
568,439632,100,0
569,440406,100,0
570,441180,100,0
571,441954,100,0
572,442728,100,0
573,443502,100,0
574,444276,100,0
575,445050,100,0
576,445824,100,0
577,446598,100,0
578,447372,100,0
579,448146,100,0
580,448920,100,0
581,449694,100,0
582,450468,100,0
583,451242,100,0
584,452016,99,1
585,452790,99,1
586,453564,99,1
587,454338,99,1
588,455112,99,1
589,455886,99,1
590,456660,99,1
591,457434,99,1
592,458208,99,1
593,458982,99,1
594,459756,99,1
595,460530,99,1
596,461304,99,1
597,462078,99,1
598,462852,99,1
599,463626,99,1
600,464400,99,1
601,465174,98,2
602,465948,97,3
603,466722,96,4
604,467496,96,4
605,468270,96,4
606,469044,96,4
607,469818,95,5
608,470592,94,6
609,471366,94,6
610,472140,94,6
611,472914,94,6
612,473688,94,6
613,474462,94,6
614,475236,93,7
615,476010,93,7
616,476784,93,7
617,477558,93,7
618,478332,93,7
619,479106,92,8
620,479880,91,9
621,480654,91,9
622,481428,91,9
623,482202,91,9
624,482976,91,9
625,483750,90,10
626,484524,89,11
627,485298,88,12
628,486072,88,12
629,486846,87,13
630,487620,87,13
631,488394,85,15
632,489168,85,15
633,489942,84,16
634,490716,84,16
635,491490,81,19
636,492264,81,19
637,493038,81,19
638,493812,80,20
639,494586,78,22
640,495360,77,23
641,496134,76,24
642,496908,76,24
643,497682,75,25
644,498456,75,25
645,499230,73,27
646,500004,71,29
647,500778,69,31
648,501552,69,31
649,502326,67,33
650,503100,64,36
651,503874,63,37
652,504648,63,37
653,505422,63,37
654,506196,62,38
655,506970,60,40
656,507744,56,44
657,508518,56,44
658,509292,56,44
659,510066,56,44
660,510840,56,44
661,511614,56,44
662,512388,55,45
663,513162,54,46
664,513936,54,46
665,514710,54,46
666,515484,54,46
667,516258,52,48
668,517032,52,48
669,517806,51,49
670,518580,49,51
671,519354,49,51
672,520128,49,51
673,520902,48,52
674,521676,48,52
675,522450,45,55
676,523224,44,56
677,523998,41,59
678,524772,40,60
679,525546,40,60
680,526320,39,61
681,527094,38,62
682,527868,38,62
683,528642,35,65
684,529416,35,65
685,530190,35,65
686,530964,35,65
687,531738,35,65
688,532512,35,65
689,533286,35,65
690,534060,35,65
691,534834,35,65
692,535608,35,65
693,536382,34,66
694,537156,33,67
695,537930,33,67
696,538704,33,67
697,539478,33,67
698,540252,32,68
699,541026,32,68
700,541800,32,68
701,542574,31,69
702,543348,30,70
703,544122,29,71
704,544896,28,72
705,545670,28,72
706,546444,28,72
707,547218,28,72
708,547992,27,73
709,548766,25,75
710,549540,25,75
711,550314,25,75
712,551088,25,75
713,551862,24,76
714,552636,23,77
715,553410,22,78
716,554184,22,78
717,554958,21,79
718,555732,20,80
719,556506,19,81
719,556506,19,81
720,557280,19,81
721,558054,19,81
722,558828,19,81
723,559602,18,82
724,560376,18,82
725,561150,18,82
726,561924,18,82
727,562698,18,82
728,563472,18,82
729,564246,17,83
730,565020,17,83
731,565794,17,83
732,566568,17,83
733,567342,17,83
734,568116,17,83
735,568890,17,83
736,569664,17,83
737,570438,17,83
738,571212,17,83
739,571986,17,83
740,572760,17,83
741,573534,16,84
742,574308,15,85
743,575082,15,85
744,575856,15,85
745,576630,15,85
746,577404,14,86
747,578178,14,86
748,578952,14,86
749,579726,13,87
750,580500,13,87
751,581274,13,87
752,582048,13,87
753,582822,12,88
754,583596,12,88
755,584370,12,88
756,585144,12,88
757,585918,12,88
758,586692,12,88
759,587466,11,89
760,588240,10,90
761,589014,10,90
762,589788,10,90
763,590562,10,90
764,591336,10,90
765,592110,10,90
766,592884,10,90
767,593658,10,90
768,594432,10,90
769,595206,10,90
770,595980,10,90
771,596754,10,90
772,597528,10,90
773,598302,10,90
774,599076,9,91
775,599850,9,91
776,600624,9,91
777,601398,8,92
778,602172,8,92
779,602946,8,92
780,603720,8,92
781,604494,8,92
782,605268,8,92
783,606042,8,92
784,606816,7,93
785,607590,7,93
786,608364,7,93
787,609138,7,93
788,609912,7,93
789,610686,7,93
790,611460,7,93
791,612234,7,93
792,613008,7,93
793,613782,7,93
794,614556,7,93
795,615330,7,93
796,616104,7,93
797,616878,7,93
798,617652,7,93
799,618426,7,93
800,619200,7,93
801,619974,7,93
802,620748,7,93
803,621522,7,93
804,622296,7,93
805,623070,7,93
806,623844,7,93
807,624618,7,93
808,625392,7,93
809,626166,7,93
810,626940,7,93
811,627714,7,93
812,628488,7,93
813,629262,7,93
814,630036,7,93
815,630810,7,93
816,631584,7,93
817,632358,7,93
818,633132,7,93
819,633906,6,94
820,634680,6,94
821,635454,6,94
822,636228,6,94
823,637002,6,94
824,637776,6,94
825,638550,4,96
826,639324,4,96
827,640098,4,96
828,640872,4,96
829,641646,4,96
830,642420,4,96
831,643194,4,96
832,643968,4,96
833,644742,4,96
834,645516,4,96
835,646290,4,96
836,647064,4,96
837,647838,4,96
838,648612,4,96
839,649386,4,96
840,650160,4,96
841,650934,4,96
842,651708,4,96
843,652482,4,96
844,653256,4,96
845,654030,4,96
846,654804,4,96
847,655578,4,96
848,656352,4,96
849,657126,4,96
850,657900,4,96
851,658674,4,96
852,659448,4,96
853,660222,4,96
854,660996,4,96
855,661770,4,96
856,662544,4,96
857,663318,4,96
858,664092,4,96
859,664866,4,96
860,665640,4,96
861,666414,4,96
862,667188,4,96
863,667962,3,97
864,668736,3,97
865,669510,3,97
866,670284,3,97
867,671058,3,97
868,671832,3,97
869,672606,3,97
870,673380,3,97
871,674154,3,97
872,674928,3,97
873,675702,3,97
874,676476,3,97
875,677250,3,97
876,678024,3,97
877,678798,3,97
878,679572,3,97
879,680346,3,97
880,681120,3,97
881,681894,2,98
881,681894,1,99
882,682668,1,99
883,683442,1,99
884,684216,1,99
885,684990,1,99
886,685764,1,99
887,686538,1,99
888,687312,1,99
889,688086,1,99
890,688860,1,99
891,689634,1,99
892,690408,1,99
893,691182,1,99
894,691956,1,99
895,692730,1,99
896,693504,1,99
897,694278,1,99
898,695052,1,99
899,695826,1,99
900,696600,0,100
