PacketID,SourceNode,GenerationTime,ReceptionTime,Delay_s
553,80,3872.04,4649.73,777.691
559,96,3872.05,4649.73,777.681
585,24,3872.16,4649.73,777.571
448,1,3098,4649.73,1551.73
453,9,3098.01,4649.73,1551.72
458,15,3098.02,4649.73,1551.71
463,36,3098.03,4649.73,1551.7
468,69,3098.04,4649.73,1551.69
473,93,3098.05,4649.73,1551.68
486,51,3098.16,4649.73,1551.57
515,11,3872,4649.73,777.731
527,13,3872.01,4649.73,777.721
538,23,3872.02,4649.73,777.711
548,32,3872.03,4649.73,777.701
554,34,3872.04,4649.73,777.691
560,41,3872.05,4649.73,777.681
565,43,3872.06,4649.73,777.671
568,62,3872.07,4649.73,777.661
571,70,3872.08,4649.73,777.651
574,73,3872.09,4649.73,777.641
576,76,3872.1,4649.73,777.631
578,82,3872.11,4649.73,777.621
580,88,3872.12,4649.73,777.611
590,37,3872.23,4649.73,777.501
424,56,3096.8,4649.73,1552.93
593,2,4644.8,5410.5,765.701
594,4,4644.8,5410.5,765.701
595,5,4644.8,5410.5,765.701
596,6,4644.8,5410.5,765.701
632,16,4646,5410.5,764.501
640,17,4646.01,5410.5,764.491
648,33,4646.02,5410.5,764.481
656,42,4646.03,5410.5,764.471
663,45,4646.04,5410.5,764.461
669,53,4646.05,5410.5,764.451
672,58,4646.06,5410.5,764.441
675,84,4646.07,5410.5,764.431
678,92,4646.08,5410.5,764.421
680,94,4646.09,5410.5,764.411
682,97,4646.1,5410.5,764.401
690,10,4646.21,5410.5,764.291
598,12,4644.8,5410.5,765.701
600,14,4644.8,5410.5,765.701
606,27,4644.8,5410.5,765.701
634,28,4646,5410.5,764.501
642,35,4646.01,5410.5,764.491
650,48,4646.02,5410.5,764.481
683,22,4646.13,5410.5,764.371
609,38,4644.8,5410.5,765.701
612,44,4644.8,5410.5,765.701
615,50,4644.8,5410.5,765.701
591,0,4644.8,5410.5,765.701
592,1,4644.8,5410.5,765.701
597,9,4644.8,5410.5,765.701
601,15,4644.8,5410.5,765.701
602,20,4644.8,5410.5,765.701
603,21,4644.8,5410.5,765.701
604,24,4644.8,5410.5,765.701
605,25,4644.8,5410.5,765.701
695,10,5418.8,6182.79,763.986
697,16,5418.8,6182.79,763.986
698,17,5418.8,6182.79,763.986
599,13,4644.8,6182.79,1537.99
720,32,5420,6182.79,762.786
731,34,5420.01,6182.79,762.776
741,37,5420.02,6182.79,762.766
748,41,5420.03,6182.79,762.756
755,43,5420.04,6182.79,762.746
761,59,5420.05,6182.79,762.736
766,73,5420.06,6182.79,762.726
770,79,5420.07,6182.79,762.716
774,82,5420.08,6182.79,762.706
776,91,5420.09,6182.79,762.696
788,13,5420.2,6182.79,762.586
700,33,5418.8,6182.79,763.986
699,22,5418.8,6182.79,763.986
723,2,5420,6182.79,762.786
734,4,5420.01,6182.79,762.776
744,6,5420.02,6182.79,762.766
751,50,5420.03,6182.79,762.756
783,27,5420.14,6182.79,762.646
721,5,5420,6182.79,762.786
732,12,5420.01,6182.79,762.776
742,30,5420.02,6182.79,762.766
749,49,5420.03,6182.79,762.756
756,55,5420.04,6182.79,762.746
762,60,5420.05,6182.79,762.736
767,71,5420.06,6182.79,762.726
771,75,5420.07,6182.79,762.716
786,14,5420.18,6182.79,762.606
702,42,5418.8,6182.79,763.986
724,7,5420,6182.79,762.786
735,54,5420.01,6182.79,762.776
745,56,5420.02,6182.79,762.766
752,63,5420.03,6182.79,762.756
758,67,5420.04,6182.79,762.746
764,74,5420.05,6182.79,762.736
768,77,5420.06,6182.79,762.726
772,83,5420.07,6182.79,762.716
787,31,5420.18,6182.79,762.606
691,0,5418.8,6182.79,763.986
692,1,5418.8,6182.79,763.986
693,8,5418.8,6182.79,763.986
694,9,5418.8,6182.79,763.986
696,15,5418.8,6182.79,763.986
722,20,5420,6182.79,762.786
733,24,5420.01,6182.79,762.776
743,29,5420.02,6182.79,762.766
750,40,5420.03,6182.79,762.756
757,85,5420.04,6182.79,762.746
763,96,5420.05,6182.79,762.736
785,21,5420.16,6182.79,762.626
608,36,4644.8,6182.79,1537.99
616,51,4644.8,6182.79,1537.99
705,51,5418.8,6182.79,763.986
701,35,5418.8,6182.79,763.986
725,28,5420,6182.79,762.786
736,44,5420.01,6182.79,762.776
780,38,5420.12,6182.79,762.666
704,48,5418.8,6182.79,763.986
706,53,5418.8,6182.79,763.986
703,45,5418.8,6182.79,763.986
607,34,4644.8,6182.79,1537.99
610,41,4644.8,6182.79,1537.99
803,19,6194,6942.89,748.886
816,31,6194.01,6942.89,748.876
828,54,6194.02,6942.89,748.866
839,63,6194.03,6942.89,748.856
848,74,6194.04,6942.89,748.846
856,75,6194.05,6942.89,748.836
862,77,6194.06,6942.89,748.826
868,83,6194.07,6942.89,748.816
872,95,6194.08,6942.89,748.806
886,7,6194.19,6942.89,748.696
790,0,6192.8,6942.89,750.086
791,8,6192.8,6942.89,750.086
804,1,6194,6942.89,748.886
817,9,6194.01,6942.89,748.876
829,36,6194.02,6942.89,748.866
840,51,6194.03,6942.89,748.856
849,67,6194.04,6942.89,748.846
857,69,6194.05,6942.89,748.836
863,93,6194.06,6942.89,748.826
884,15,6194.17,6942.89,748.716
805,21,6194,6942.89,748.886
818,24,6194.01,6942.89,748.876
830,25,6194.02,6942.89,748.866
841,39,6194.03,6942.89,748.856
850,40,6194.04,6942.89,748.846
858,80,6194.05,6942.89,748.836
864,81,6194.06,6942.89,748.826
869,85,6194.07,6942.89,748.816
873,96,6194.08,6942.89,748.806
887,20,6194.19,6942.89,748.696
794,17,6192.8,6942.89,750.086
802,4,6194,6942.89,748.886
815,5,6194.01,6942.89,748.876
827,12,6194.02,6942.89,748.866
838,27,6194.03,6942.89,748.856
847,42,6194.04,6942.89,748.846
855,49,6194.05,6942.89,748.836
861,53,6194.06,6942.89,748.826
867,60,6194.07,6942.89,748.816
871,71,6194.08,6942.89,748.806
875,84,6194.09,6942.89,748.796
888,6,6194.2,6942.89,748.686
792,10,6192.8,6942.89,750.086
793,16,6192.8,6942.89,750.086
796,45,6192.8,6942.89,750.086
614,49,4644.8,6942.89,2298.09
519,7,3872,6942.89,3070.89
531,31,3872.01,6942.89,3070.88
542,81,3872.02,6942.89,3070.87
581,54,3872.13,6942.89,3070.76
417,47,3096.8,6942.89,3846.09
633,3,4646,6942.89,2296.89
641,19,4646.01,6942.89,2296.88
649,26,4646.02,6942.89,2296.87
657,47,4646.03,6942.89,2296.86
664,52,4646.04,6942.89,2296.85
670,57,4646.05,6942.89,2296.84
673,72,4646.06,6942.89,2296.83
676,90,4646.07,6942.89,2296.82
688,18,4646.18,6942.89,2296.71
421,52,3096.8,6942.89,3846.09
518,18,3872,6942.89,3070.89
530,19,3872.01,6942.89,3070.88
541,26,3872.02,6942.89,3070.87
551,57,3872.03,6942.89,3070.86
557,72,3872.04,6942.89,3070.85
563,95,3872.05,6942.89,3070.84
586,52,3872.16,6942.89,3070.73
423,55,3096.8,6942.89,3846.09
809,14,6194,6942.89,748.886
821,30,6194.01,6942.89,748.876
832,64,6194.02,6942.89,748.866
879,55,6194.13,6942.89,748.756
426,60,3096.8,6942.89,3846.09
618,60,4644.8,6942.89,2298.09
332,7,2324,6942.89,4618.89
339,16,2324.01,6942.89,4618.88
346,31,2324.02,6942.89,4618.87
353,45,2324.03,6942.89,4618.86
359,54,2324.04,6942.89,4618.85
365,74,2324.05,6942.89,4618.84
370,77,2324.06,6942.89,4618.83
375,94,2324.07,6942.89,4618.82
387,63,2324.18,6942.89,4618.71
503,58,3870.8,6942.89,3072.09
707,58,5418.8,6942.89,1524.09
611,43,4644.8,6942.89,2298.09
795,32,6192.8,6942.89,750.086
806,70,6194,6942.89,748.886
877,29,6194.11,6942.89,748.776
635,11,4646,6942.89,2296.89
643,23,4646.01,6942.89,2296.88
651,37,4646.02,6942.89,2296.87
658,39,4646.03,6942.89,2296.86
665,56,4646.04,6942.89,2296.85
671,73,4646.05,6942.89,2296.84
674,78,4646.06,6942.89,2296.83
677,81,4646.07,6942.89,2296.82
679,82,4646.08,6942.89,2296.81
681,88,4646.09,6942.89,2296.8
689,62,4646.2,6942.89,2296.69
504,59,3870.8,6942.89,3072.09
617,59,4644.8,6942.89,2298.09
613,46,4644.8,6942.89,2298.09
726,68,5420,6942.89,1522.89
737,87,5420.01,6942.89,1522.88
781,46,5420.12,6942.89,1522.77
505,65,3870.8,6942.89,3072.09
619,65,4644.8,6942.89,2298.09
709,65,5418.8,6942.89,1524.09
807,22,6194,6942.89,748.886
819,28,6194.01,6942.89,748.876
831,35,6194.02,6942.89,748.866
842,44,6194.03,6942.89,748.856
881,48,6194.14,6942.89,748.746
808,2,6194,6942.89,748.886
820,38,6194.01,6942.89,748.876
878,50,6194.12,6942.89,748.766
891,5,6966.8,7745.74,778.937
936,4,6968,7745.74,777.737
943,27,6968.01,7745.74,777.727
950,28,6968.02,7745.74,777.717
957,38,6968.03,7745.74,777.707
963,44,6968.04,7745.74,777.697
969,50,6968.05,7745.74,777.687
986,2,6968.16,7745.74,777.577
892,6,6966.8,7745.74,778.937
893,7,6966.8,7745.74,778.937
890,3,6966.8,7745.74,778.937
937,0,6968,7745.74,777.737
944,8,6968.01,7745.74,777.727
951,15,6968.02,7745.74,777.717
958,51,6968.03,7745.74,777.707
964,61,6968.04,7745.74,777.697
970,67,6968.05,7745.74,777.687
973,69,6968.06,7745.74,777.677
976,86,6968.07,7745.74,777.667
979,93,6968.08,7745.74,777.657
987,9,6968.19,7745.74,777.547
897,19,6966.8,7745.74,778.937
894,12,6966.8,7745.74,778.937
895,14,6966.8,7745.74,778.937
902,26,6966.8,7745.74,778.937
896,18,6966.8,7745.74,778.937
904,30,6966.8,7745.74,778.937
910,47,6966.8,7745.74,778.937
913,52,6966.8,7745.74,778.937
914,55,6966.8,7745.74,778.937
912,49,6966.8,7745.74,778.937
917,60,6966.8,7745.74,778.937
428,64,3096.8,7745.74,4648.94
636,30,4646,7745.74,3099.74
644,55,4646.01,7745.74,3099.73
652,75,4646.02,7745.74,3099.72
659,95,4646.03,7745.74,3099.71
666,98,4646.04,7745.74,3099.7
685,64,4646.15,7745.74,3099.59
918,64,6966.8,7745.74,778.937
425,57,3096.8,7745.74,4648.94
810,3,6194,7745.74,1551.74
822,18,6194.01,7745.74,1551.73
833,26,6194.02,7745.74,1551.72
843,47,6194.03,7745.74,1551.71
851,52,6194.04,7745.74,1551.7
859,72,6194.05,7745.74,1551.69
865,90,6194.06,7745.74,1551.68
885,57,6194.17,7745.74,1551.57
915,57,6966.8,7745.74,778.937
427,61,3096.8,7745.74,4648.94
708,61,5418.8,7745.74,2326.94
797,61,6192.8,7745.74,1552.94
939,1,6968,7745.74,777.737
946,20,6968.01,7745.74,777.727
953,39,6968.02,7745.74,777.717
960,78,6968.03,7745.74,777.707
966,81,6968.04,7745.74,777.697
985,36,6968.15,7745.74,777.587
898,21,6966.8,7745.74,778.937
900,24,6966.8,7745.74,778.937
901,25,6966.8,7745.74,778.937
903,29,6966.8,7745.74,778.937
938,13,6968,7745.74,777.737
945,37,6968.01,7745.74,777.727
952,70,6968.02,7745.74,777.717
959,73,6968.03,7745.74,777.707
965,76,6968.04,7745.74,777.697
984,32,6968.15,7745.74,777.587
905,34,6966.8,7745.74,778.937
991,5,7740.8,8506.06,765.264
1026,4,7742,8506.06,764.064
1034,27,7742.01,8506.06,764.054
1041,28,7742.02,8506.06,764.044
1047,38,7742.03,8506.06,764.034
1053,44,7742.04,8506.06,764.024
1083,2,7742.15,8506.06,763.914
992,6,7740.8,8506.06,765.264
993,7,7740.8,8506.06,765.264
994,9,7740.8,8506.06,765.264
990,1,7740.8,8506.06,765.264
997,15,7740.8,8506.06,765.264
1029,20,7742,8506.06,764.064
1037,21,7742.01,8506.06,764.054
1043,24,7742.02,8506.06,764.044
1049,25,7742.03,8506.06,764.034
1055,39,7742.04,8506.06,764.024
1060,40,7742.05,8506.06,764.014
1064,70,7742.06,8506.06,764.004
1068,78,7742.07,8506.06,763.994
1071,80,7742.08,8506.06,763.984
1074,85,7742.09,8506.06,763.974
1077,96,7742.1,8506.06,763.964
1086,29,7742.21,8506.06,763.854
1002,36,7740.8,8506.06,765.264
1001,31,7740.8,8506.06,765.264
995,12,7740.8,8506.06,765.264
996,14,7740.8,8506.06,765.264
999,26,7740.8,8506.06,765.264
1000,30,7740.8,8506.06,765.264
998,16,7740.8,8506.06,765.264
1030,0,7742,8506.06,764.064
1038,3,7742.01,8506.06,764.054
1044,8,7742.02,8506.06,764.044
1050,18,7742.03,8506.06,764.034
1056,19,7742.04,8506.06,764.024
1061,52,7742.05,8506.06,764.014
1065,57,7742.06,8506.06,764.004
1069,61,7742.07,8506.06,763.994
1072,72,7742.08,8506.06,763.984
1075,83,7742.09,8506.06,763.974
1078,86,7742.1,8506.06,763.964
1081,95,7742.11,8506.06,763.954
1088,47,7742.22,8506.06,763.844
1008,54,7740.8,8506.06,765.264
1003,42,7740.8,8506.06,765.264
906,35,6966.8,8506.06,1539.26
1004,45,7740.8,8506.06,765.264
908,41,6966.8,8506.06,1539.26
1027,32,7742,8506.06,764.064
1035,34,7742.01,8506.06,764.054
1042,37,7742.02,8506.06,764.044
1048,41,7742.03,8506.06,764.034
1054,43,7742.04,8506.06,764.024
1059,46,7742.05,8506.06,764.014
1063,59,7742.06,8506.06,764.004
1067,73,7742.07,8506.06,763.994
1070,76,7742.08,8506.06,763.984
1073,79,7742.09,8506.06,763.974
1076,82,7742.1,8506.06,763.964
1080,91,7742.11,8506.06,763.954
1087,13,7742.22,8506.06,763.844
909,43,6966.8,8506.06,1539.26
1031,10,7742,8506.06,764.064
1039,17,7742.01,8506.06,764.054
