Instance,CHID,StartTime,Duration_s,Successful
555,20,17195.9,29.6114,Yes
556,21,17225.5,32.9032,Yes
557,24,17258.4,36.2683,Yes
558,25,17294.7,37.7144,Yes
559,23,17332.4,7.88649,Yes
560,10,17340.3,16.5171,Yes
561,4,17356.8,25.2341,Yes
562,2,17382.1,33.271,Yes
563,6,17415.3,20.4247,Yes
564,22,17435.8,20.1483,Yes
565,27,17455.9,18.9968,Yes
566,28,17474.9,28.4676,Yes
567,35,17503.4,34.024,Yes
568,33,17537.4,30.5634,Yes
569,34,17568,33.1946,Yes
570,37,17601.2,32.9199,Yes
571,29,17634.1,27.4598,Yes
572,36,17661.5,30.726,Yes
573,40,17692.3,19.335,Yes
574,70,17711.6,34.9556,Yes
575,41,17746.6,24.7087,Yes
576,9,17849.5,14.251,Yes
577,0,17863.7,32.5974,Yes
578,1,17896.3,21.8373,Yes
579,8,17918.2,19.7884,Yes
580,15,17938,26.1684,Yes
581,21,17964.1,20.6902,Yes
582,24,17984.8,36.2683,Yes
583,25,18021.1,37.7144,Yes
584,29,18058.8,34.4129,Yes
585,32,18093.2,26.5612,Yes
586,40,18119.8,28.4555,Yes
587,70,18148.2,34.9556,Yes
588,43,18183.2,17.113,Yes
589,51,18224.4,25.6597,Yes
590,56,18266.3,16.579,Yes
591,58,18282.9,13.8004,Yes
592,22,18296.7,19.8649,Yes
593,2,18316.5,21.082,Yes
594,27,18337.6,34.8334,Yes
595,14,18372.4,27.4607,Yes
596,19,18399.9,23.4923,Yes
597,18,18423.4,33.8656,Yes
598,26,18457.3,35.8884,Yes
599,47,18493.2,30.808,Yes
600,52,18524,37.0249,Yes
601,6,18656.9,6.31184,Yes
602,10,18663.2,28.9874,Yes
603,17,18692.2,33.2578,Yes
604,33,18725.4,29.8072,Yes
605,22,18755.3,29.0856,Yes
606,35,18784.3,37.6057,Yes
607,38,18821.9,20.9425,Yes
608,44,18842.9,36.7567,Yes
609,48,18879.6,32.8131,Yes
610,50,18912.5,26.5568,Yes
611,53,18939,19.2079,Yes
612,14,18958.2,17.7999,Yes
613,30,18976,36.7941,Yes
614,49,19012.8,37.1742,Yes
615,54,19050,9.79315,Yes
616,55,19079.5,36.5247,Yes
617,60,19116,37.4705,Yes
618,63,19153.5,21.5772,Yes
619,67,19175.1,26.5158,Yes
620,1,19201.6,28.6373,Yes
621,29,19230.2,22.4255,Yes
622,73,19252.6,23.0292,Yes
623,46,19275.7,23.3283,Yes
624,59,19299,28.6462,Yes
625,11,19411.8,29.8504,Yes
626,13,19441.6,14.0138,Yes
627,46,19455.7,35.3737,Yes
628,65,19491,4.86626,Yes
629,22,19495.9,30.3496,Yes
630,5,19526.3,5.19127,Yes
631,35,19531.4,17.1166,Yes
632,48,19548.6,37.759,Yes
633,50,19586.3,26.5568,Yes
634,66,19643.8,37.7834,Yes
635,68,19681.6,22.9937,Yes
636,76,19704.6,18.3572,Yes
637,39,19722.9,20.8208,Yes
638,21,19743.7,25.3648,Yes
